"id","start","end","orig_string","parent_id","text_id","status","user_added_id","annotation_project_id","content_type_id","object_id"
2,249,255,,,10995,,12,1,,
3,333,338,,,10995,,12,1,,
4,511,520,,,10995,,12,1,,
5,650,657,,,10995,,12,1,,
6,100,104,,,10995,,12,1,,
7,106,117,,,10995,,12,1,,
8,121,127,,,10995,,12,1,,
9,9,14,,,10997,,12,1,,
10,57,67,,,10997,,12,1,,
11,79,99,,,10997,,12,1,,
20,62,69,,,10999,,12,1,,
21,204,209,,,10999,,12,1,,
22,500,507,,,10999,,12,1,,
23,570,594,,,10999,,12,1,,
24,628,642,,,10999,,12,1,,
25,755,779,,,10999,,12,1,,
26,687,737,,,10999,,12,1,,
27,83,121,,,11003,,12,1,,
32,23,29,,,11015,,12,1,,
33,67,74,,,11015,,12,1,,
34,76,89,,,11015,,12,1,,
35,118,136,,,11015,,12,1,,
43,9,13,,,11005,,12,1,,
44,146,156,,,11005,,12,1,,
45,216,220,,,11005,,12,1,,
46,63,92,,,11005,,12,1,,
47,858,868,,,11011,,12,1,,
48,880,917,,,11011,,12,1,,
49,100,110,,,11011,,12,1,,
50,930,955,,,11011,,12,1,,
51,130,148,,,11011,,12,1,,
52,118,130,,,11009,,12,1,,
53,144,154,,,11009,,12,1,,
54,722,746,,,11009,,12,1,,
55,689,704,,,11009,,12,1,,
56,9,17,,,11013,,12,1,,
57,21,28,,,11013,,12,1,,
58,117,151,,,11013,,12,1,,
59,153,170,,,11013,,12,1,,
60,172,242,,,11013,,12,1,,
61,253,334,,,11013,,12,1,,
62,349,391,,,11013,,12,1,,
63,400,427,,,11013,,12,1,,
64,138,189,,,11015,,12,1,,
65,191,215,,,11015,,12,1,,
66,223,290,,,11015,,12,1,,
67,443,461,,,11015,,12,1,,
68,792,869,,,11015,,12,1,,
69,510,535,,,11015,,12,1,,
70,911,943,,,11015,,12,1,,
71,1143,1167,,,11015,,12,1,,
72,1322,1332,,,11015,,12,1,,
73,1335,1378,,,11015,,12,1,,
74,30,40,,,11020,,12,1,,
75,67,73,,,11020,,12,1,,
76,28,57,,,11019,,12,1,,
77,375,412,,,11019,,12,1,,
79,1026,1047,,,11019,,12,1,,
80,659,699,,,11019,,12,1,,
81,1070,1088,,,11019,,12,1,,
83,1263,1299,,,11019,,12,1,,
84,1885,1927,,,11019,,12,1,,
85,2043,2076,,,11019,,12,1,,
86,97,122,,,11017,,12,1,,
87,153,160,,,11017,,12,1,,
88,178,183,,,11017,,12,1,,
90,431,467,,,11017,,12,1,,
91,301,342,,,11017,,12,1,,
92,403,426,,,11017,,12,1,,
93,1142,1159,,,11019,,12,1,,
98,181,188,,,10995,,12,1,,
99,592,608,,,10995,,12,1,,
100,365,374,,,11035,,12,1,,
101,388,392,,,11035,,12,1,,
102,394,404,,,11035,,12,1,,
103,409,417,,,11035,,12,1,,
104,482,486,,,11035,,12,1,,
105,576,582,,,11035,,12,1,,
106,589,595,,,11035,,12,1,,
107,636,646,,,11035,,12,1,,
108,693,700,,,11035,,12,1,,
109,819,824,,,11035,,12,1,,
110,888,895,,,11035,,12,1,,
111,902,911,,,11035,,12,1,,
112,987,993,,,11035,,12,1,,
