"id","name","description","published"
1,Default,We need an annotation project for every annotation. Thus the default project.,0
2,Klausenburg Agoston,,1
3,Künstlerhaus Maximilian,,1
4,Mittelalter,,1
5,"300 select names",,0
6,Gold Standard 28.3.2017,"",0
7,spacy test extracts,,0
9,DHA Innsbruck Model,"",0
10,Hungarian Journalists 12-2017,"",1
11,Pressenetzwerke Ágoston,"",1
12,Andrássy,"",1
13,Rumpolt Evaluation,"",0
14,Gold Standard 22.05.2018,"",0
15,Gold Standard 11.06.2018,"",0
16,trainings data 300 select names,neue trainings daten 7-2018,0
17,ÖBL original links,,0
18,Rumpolt Diss,"",0
19,Rumpolt Diss Nachrecherche,"",0
20,Prodigy Annotations 4-20,,0
